Colour 1
189 195 156
216 224 195
184 190 160
190 198 163
180 182 155
162 169 135
155 168 134
172 165 150
123 115 94
192 193 175
Colour 2
262 288 399
316 378 499
269 326 436
322 362 480
256 307 433
314 345 482
161 178 265
243 313 434
255 312 432
264 326 452
Colour 3
230 399 195
248 420 221
249 429 244
247 432 214
243 413 208
252 432 230
244 407 196
119 256 79
272 461 239
244 413 218
Colour 4
492 480 180
642 616 269
329 315 39
550 543 202
481 475 165
649 624 267
623 596 245
517 512 188
649 624 268
476 473 158
Colour 5
629 226 175
677 301 243
477 129 72
695 304 243
548 219 172
629 269 187
611 234 188
501 186 132
606 212 149
542 217 144
Colour 6
530 553 572
521 547 566
492 518 534
553 579 599
417 440 453
460 482 501
471 497 511
525 551 567
425 448 459
516 540 555
