Colour 1
161 162 148
189 189 179
181 179 170
179 178 167
188 189 179
163 160 151
175 177 163
194 192 182
189 187 180
184 181 168
Colour 2
195 343 455
206 354 467
216 361 470
217 364 471
202 356 466
198 357 470
215 377 488
180 347 458
201 344 450
178 324 432
Colour 3
363 545 322
347 528 304
342 522 302
345 530 309
338 528 308
348 535 315
351 539 315
355 544 319
338 519 297
353 540 317
Colour 4
474 477 205
465 468 196
455 454 194
499 502 231
479 482 221
417 419 151
449 453 186
479 484 215
567 558 270
485 487 219
Colour 5
473 154 149
477 158 160
445 133 129
439 118 112
437 109 116
433 149 150
512 188 190
503 183 191
494 190 183
451 133 134
Colour 6
363 384 401
317 338 353
380 400 417
407 429 446
434 456 475
415 440 459
449 471 491
531 558 579
584 598 612
525 552 571
